iter	Passed	Remaining
910	3861	377
911	3865	372
912	3869	368
913	3872	364
914	3876	360
915	3880	355
916	3884	351
917	3887	347
918	3891	342
919	3895	338
920	3898	334
921	3902	330
922	3905	325
923	3909	321
924	3913	317
925	3916	312
926	3919	308
927	3924	304
928	3927	300
929	3931	295
930	3935	291
931	3941	287
932	3946	283
933	3950	279
934	3957	275
935	3961	270
936	3966	266
937	3973	262
938	3978	258
939	3982	254
940	3987	249
941	3991	245
942	3996	241
943	4004	237
944	4017	233
945	4025	229
946	4038	226
947	4042	221
948	4045	217
949	4048	213
950	4052	208
951	4056	204
952	4060	200
953	4092	197
954	4096	193
955	4100	188
956	4108	184
957	4112	180
958	4116	175
959	4120	171
960	4123	167
961	4126	163
962	4130	158
963	4133	154
964	4137	150
965	4141	145
966	4145	141
967	4149	137
968	4156	132
969	4159	128
970	4163	124
971	4167	120
972	4171	115
973	4174	111
974	4178	107
975	4182	102
976	4187	98
977	4191	94
978	4196	90
979	4201	85
980	4207	81
981	4247	77
982	4253	73
983	4262	69
984	4267	64
985	4272	60
986	4314	56
987	4319	52
988	4325	48
989	4331	43
990	4337	39
991	4340	35
992	4344	30
993	4348	26
994	4352	21
995	4356	17
996	4359	13
997	4363	8
998	4367	4
999	4370	0
