iter	RMSE
268	3.217906913
269	3.208768562
270	3.196911797
271	3.193297904
272	3.182803366
273	3.172225928
274	3.16364169
275	3.156746258
276	3.146226368
277	3.132641677
278	3.120406181
279	3.10540852
280	3.097574689
281	3.089438614
282	3.080504527
283	3.069358644
284	3.060988492
285	3.050179825
286	3.047037838
287	3.039866864
288	3.035321239
289	3.023442576
290	3.021677506
291	3.015470102
292	3.004436555
293	2.997862511
294	2.995628912
295	2.986206449
296	2.983032515
297	2.977978613
298	2.967536952
299	2.960454337
300	2.949285458
301	2.940400064
302	2.934885294
303	2.923696345
304	2.915270776
305	2.903076238
306	2.893802171
307	2.883465863
308	2.87930695
309	2.874340343
310	2.870460978
311	2.868913268
312	2.858965281
313	2.853809545
314	2.843189178
315	2.83341398
316	2.822930432
317	2.819525549
318	2.811035057
319	2.803350868
320	2.796381999
321	2.789445289
322	2.787742232
323	2.779009854
324	2.77015811
325	2.755534631
326	2.749404137
327	2.737993278
328	2.733261426
329	2.722247648
330	2.709480346
331	2.69798511
332	2.687356308
333	2.678016139
334	2.670382625
335	2.663629905
336	2.655528911
337	2.65157061
338	2.644406773
339	2.63639379
340	2.635203821
341	2.626633138
342	2.616210091
343	2.610912667
344	2.601285298
345	2.591297969
346	2.584710207
347	2.583516621
348	2.576995217
349	2.571595612
350	2.569923112
351	2.561285408
352	2.554310748
353	2.547449693
354	2.537614579
355	2.528275269
356	2.519926318
357	2.512130539
358	2.502103856
359	2.496764063
360	2.486688139
361	2.476533444
362	2.469165938
363	2.463872376
364	2.459542026
365	2.454551479
366	2.445578982
367	2.43747186
368	2.430536885
369	2.424435911
370	2.423079354
371	2.413673233
372	2.40823457
373	2.400247223
374	2.39446612
375	2.383897408
376	2.375833311
377	2.368433233
378	2.361671441
379	2.360388354
380	2.349595304
381	2.342503184
382	2.333202331
383	2.332224404
384	2.321113948
385	2.313359481
386	2.307772008
387	2.299348654
388	2.292538221
389	2.290682462
390	2.288933231
391	2.282937156
392	2.275544902
393	2.26710097
394	2.257515098
395	2.251981798
396	2.245294181
397	2.239226805
398	2.232937305
399	2.22546533
400	2.223686996
401	2.214935636
402	2.209013662
403	2.202409241
404	2.192693026
405	2.185657856
406	2.176496229
407	2.170339923
408	2.167456814
409	2.158535162
410	2.153006793
411	2.145423001
412	2.137846143
413	2.132054048
414	2.125070241
415	2.120358992
416	2.113721952
417	2.110093036
418	2.103315777
419	2.102692682
420	2.098681984
421	2.090387164
422	2.089477669
423	2.084523558
424	2.077123362
425	2.067747497
426	2.060415449
427	2.057115971
428	2.050691949
429	2.048684308
430	2.041634886
431	2.040359041
432	2.033387024
433	2.031490273
434	2.027070611
435	2.022733542
436	2.021883003
437	2.021136092
438	2.016913183
439	2.012211811
440	2.008830791
441	2.001450966
442	1.996235994
443	1.989351756
444	1.98315172
445	1.975731415
446	1.969142747
447	1.96157026
448	1.960993399
449	1.955123631
450	1.953974529
451	1.947034723
452	1.938187841
453	1.933304578
454	1.925388627
455	1.919517425
456	1.913850849
457	1.909032531
458	1.903225938
459	1.896684894
460	1.89597787
461	1.889005252
462	1.883326565
463	1.877831361
464	1.870612254
465	1.864532936
466	1.858046974
467	1.853428081
468	1.852874485
469	1.852308122
470	1.847539125
471	1.842790959
472	1.839371794
473	1.833352508
474	1.828457167
475	1.82212286
476	1.815039562
477	1.808965886
478	1.803557495
479	1.796857773
480	1.796265196
481	1.788686244
482	1.785807041
483	1.779754075
484	1.77374033
485	1.768506205
486	1.765612593
487	1.76014542
488	1.756757915
489	1.756262715
490	1.748390326
491	1.742422814
492	1.736601592
493	1.732070058
494	1.727469762
495	1.727018029
496	1.721799997
497	1.71632848
498	1.711341511
499	1.710369229
500	1.702931859
501	1.696202735
502	1.691379418
503	1.687606684
504	1.680593934
505	1.675638185
506	1.674148626
507	1.670354715
508	1.667348307
509	1.661119875
510	1.657893907
511	1.649762539
512	1.642532579
513	1.636656993
514	1.630719794
515	1.625507396
516	1.621475806
517	1.620736239
518	1.613748344
519	1.609248736
520	1.608815097
521	1.604683516
522	1.601433232
523	1.596617805
524	1.592311405
525	1.587084375
526	1.581931371
527	1.575923959
528	1.570877557
529	1.566546611
530	1.561954839
531	1.55725506
532	1.555766186
533	1.551554629
534	1.548331885
535	1.547551144
536	1.542348915
537	1.537581682
538	1.532779991
539	1.529047818
540	1.528636571
541	1.523887105
542	1.520654977
543	1.51569077
544	1.511726364
545	1.507358148
546	1.502805672
547	1.502028279
548	1.501600014
549	1.496640192
550	1.492270759
551	1.489539023
552	1.486262961
553	1.48311463
554	1.477441828
555	1.473386566
556	1.467608609
557	1.463190796
558	1.459514271
559	1.455725161
560	1.453128602
561	1.451572582
562	1.446473896
563	1.445774851
564	1.439877018
565	1.433846933
566	1.429761567
567	1.424818872
568	1.420735377
569	1.417548031
570	1.414746509
571	1.410579148
572	1.405952603
573	1.40405822
574	1.398883013
575	1.394034188
576	1.390663389
577	1.38594585
578	1.380559408
579	1.377223822
580	1.372317412
581	1.370212462
582	1.365905468
583	1.361851976
584	1.360070346
585	1.355925492
586	1.351527893
587	1.347610561
588	1.34496975
589	1.341920362
590	1.336505541
591	1.332176622
592	1.328160441
593	1.323902127
594	1.321705227
595	1.317657828
596	1.313170308
597	1.310526798
598	1.306967111
599	1.303205101
600	1.298859688
601	1.294769937
602	1.291259626
603	1.286979653
604	1.283774428
605	1.281238227
606	1.277850346
607	1.274231781
608	1.271066144
609	1.26823547
610	1.265277659
611	1.260044649
612	1.255472768
613	1.252279823
614	1.249729568
615	1.245928417
616	1.241915917
617	1.2384636
618	1.235485974
619	1.229911033
620	1.227916205
621	1.224300166
622	1.22032954
623	1.216114409
624	1.21153728
625	1.208331663
626	1.203349275
627	1.199665685
628	1.196969894
629	1.19381103
630	1.189696422
631	1.185388077
632	1.182817477
633	1.178072414
634	1.173836339
635	1.171092101
636	1.169624081
637	1.169044904
638	1.164903195
639	1.161863021
640	1.157357916
641	1.152977397
642	1.152330581
643	1.150177677
644	1.145991239
645	1.142198548
646	1.140816288
647	1.137746164
648	1.133149045
649	1.130353306
650	1.126194158
651	1.122097797
652	1.118559917
653	1.11711828
654	1.115095609
655	1.112326761
656	1.109436067
657	1.10732769
658	1.10443702
659	1.102147619
660	1.099429081
661	1.096211909
662	1.094131491
663	1.091632998
664	1.087999757
665	1.083787448
666	1.080481226
667	1.076748749
668	1.07495926
669	1.074240048
670	1.070405299
671	1.068029167
672	1.066354213
673	1.066111992
674	1.063686976
675	1.062430076
676	1.059630796
677	1.056822754
678	1.053668769
679	1.050127983
680	1.047752799
681	1.04322855
682	1.039509253
683	1.036741549
684	1.033665026
685	1.029993037
686	1.027086999
687	1.023068719
688	1.022629284
689	1.020066455
690	1.017426368
691	1.015234593
692	1.013352008
693	1.010914936
694	1.009009013
695	1.005058792
696	1.003175654
697	1.001481681
698	0.9976478547
699	0.9944903339
700	0.9940408314
701	0.9925169535
702	0.992217511
703	0.9893987569
704	0.9862706044
705	0.9840327271
706	0.9807120126
707	0.9781178043
708	0.9753287446
709	0.9714381329
710	0.968140344
711	0.9652696153
712	0.9631262829
713	0.961292124
714	0.9574695199
715	0.9546313984
716	0.95205961
717	0.9490377981
718	0.9482379087
719	0.9448972346
720	0.9431080145
721	0.9403536922
722	0.9400924502
723	0.9365208242
724	0.9345107802
725	0.9329714362
726	0.9301206202
727	0.9255673184
728	0.9232089533
729	0.9212011195
730	0.9172441346
731	0.9142648581
732	0.911486684
733	0.9099445067
734	0.9077910514
735	0.9054154512
736	0.9032548218
737	0.9006465777
738	0.8987539501
739	0.897294965
740	0.8946176444
741	0.8942453965
742	0.8908563862
743	0.8906529759
744	0.8889669987
745	0.8866624864
746	0.883166369
747	0.8809673783
748	0.8798683417
749	0.8781454969
750	0.8770897149
751	0.874460932
752	0.8735537909
753	0.8715105718
754	0.8680923184
755	0.8644019109
756	0.8635013463
757	0.8611817867
758	0.8587708983
759	0.8564250223
760	0.853970311
761	0.8507985187
762	0.8490609831
763	0.8471835649
764	0.8438680675
765	0.8424335593
766	0.8400562227
767	0.8398474397
768	0.8380019816
769	0.8358452741
770	0.8330329092
771	0.8324960592
772	0.8321488505
773	0.8302111456
774	0.8292302798
775	0.8270756264
776	0.8242139163
777	0.8217634429
778	0.8201297905
779	0.8169175302
780	0.8166306403
781	0.8138031078
782	0.8119624963
783	0.8099108656
784	0.8084887302
785	0.808205702
786	0.8067104342
787	0.8048054508
788	0.8027134832
789	0.8001020133
790	0.798361387
791	0.7952958054
792	0.7923412399
793	0.789819739
794	0.789553668
795	0.7871549131
796	0.7865294891
797	0.7849839152
798	0.7816175829
799	0.7814237131
800	0.7786457597
801	0.7752175265
802	0.7734963277
803	0.7712583428
804	0.7692355831
805	0.7672667962
806	0.765477025
807	0.7631849856
808	0.7613527085
809	0.7611318884
810	0.758802996
811	0.7562220269
812	0.7546827598
813	0.7545033619
814	0.7542922252
815	0.7535942827
816	0.7504397791
817	0.7502922335
818	0.7482630791
819	0.7457723003
820	0.7436320734
821	0.7420285714
822	0.7418833538
823	0.7402615973
824	0.7374258541
825	0.7359061931
826	0.7357303844
827	0.7339495065
828	0.7318409129
829	0.7294964945
830	0.7277572977
831	0.7257981055
832	0.7238548025
833	0.7222167971
834	0.7203578985
835	0.717359942
836	0.7171642174
837	0.7164285176
838	0.7162900871
839	0.7141621406
840	0.7125628249
841	0.71176123
842	0.7116565626
843	0.7092952031
844	0.7068893952
845	0.7055106294
846	0.7054049123
847	0.7050443148
848	0.7029208526
849	0.7014058381
850	0.7012892687
851	0.6991965811
852	0.6990502373
853	0.6980665159
854	0.6962854517
855	0.6961825081
856	0.6960335946
857	0.6930381686
858	0.6929175919
859	0.6915499677
860	0.6896845568
861	0.6872668308
862	0.6857978717
863	0.6831131656
864	0.6808696233
865	0.6793431108
866	0.6772186754
867	0.674447787
868	0.6724439278
869	0.6720638236
870	0.6698218731
871	0.6688775522
872	0.6662799758
873	0.6643719293
874	0.6628299631
875	0.6616324001
876	0.6608508438
877	0.6597956099
878	0.6582689671
879	0.6567395402
880	0.6551735154
881	0.6532352541
882	0.651737014
883	0.6498405558
884	0.6478790544
885	0.646529644
886	0.6446257945
887	0.6426504982
888	0.6410291628
889	0.6387133093
890	0.6385753741
891	0.6362099
892	0.6359848691
893	0.6345578515
894	0.6326160358
895	0.6310614176
896	0.6301341453
897	0.6283479309
898	0.6279370938
899	0.6259055939
900	0.6244442186
901	0.6223619664
902	0.6198791338
903	0.6181917647
904	0.6173327107
905	0.6151057324
906	0.6148807493
907	0.6147899402
908	0.6125354003
909	0.6108469379
910	0.6085983629
911	0.6059944573
912	0.6053956808
913	0.6039012745
914	0.6017388016
915	0.5997667224
916	0.5987471973
917	0.5975387269
918	0.5957535063
919	0.5942725073
920	0.5939852316
921	0.5924920343
922	0.5911682743
923	0.5899225819
924	0.589300873
925	0.5880405737
926	0.5866342275
927	0.5857269616
928	0.5833745111
929	0.581092598
930	0.5804316495
931	0.5788048284
932	0.5768113689
933	0.5759976605
934	0.5742699723
935	0.5740061527
936	0.5723225522
937	0.571179217
938	0.5707330823
939	0.5689206509
940	0.5667566029
941	0.5651063248
942	0.563486561
943	0.5618660011
944	0.5598557672
945	0.558568058
946	0.5563393918
947	0.5562489036
948	0.5543437351
949	0.5529170793
950	0.5517169706
951	0.5507501936
952	0.5491348381
953	0.5477139463
954	0.5463210137
955	0.5446371
956	0.5432938962
957	0.5413579406
958	0.5398656029
959	0.538748426
960	0.5375844295
961	0.5364218248
962	0.5343323277
963	0.5340042656
964	0.5338263861
965	0.5331989101
966	0.5321640202
967	0.5305005786
968	0.5289191592
969	0.5271917691
970	0.5270853139
971	0.525116914
972	0.5249951149
973	0.5240402293
974	0.5229620196
975	0.5217166629
976	0.5202636116
977	0.5201017408
978	0.5186995347
979	0.5173167073
980	0.5155645935
981	0.5146091544
982	0.5143846293
983	0.5142567733
984	0.5122412718
985	0.5111817754
986	0.5100943472
987	0.5086229969
988	0.5081662911
989	0.5064545206
990	0.5040663146
991	0.5024285928
992	0.5004859076
993	0.4988257635
994	0.4974116798
995	0.4960905372
996	0.494764175
997	0.493489022
998	0.4924942235
999	0.4909488652
